,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
103,fs_9.75_Ro_25_Std_1.73,38017.81306342944,25.0,0.011154489206956842,424.0692854881266,0.13098200625073148,0.009180701591507346,2.185538257800499,0.21111953065559164,1.1297712032879288,612.8657995106315,6.1954567988450915
104,fs_9.75_Ro_25_Std_2.53,37889.14579440289,25.0,0.016368030373323218,620.1706891820581,0.1305486048985068,0.00891228196200224,2.2857708722119803,0.19638431044325602,1.154304100462244,611.6338220478624,6.055837894606141
105,fs_9.75_Ro_30_Std_0.14,40200.135385280744,30.0,0.0008536723898448217,34.31774564643799,0.13470416107489813,0.00956706323273004,2.5989556347764715,0.31509302353585245,1.1423903308279693,705.3587750230909,6.540681344477626
106,fs_9.75_Ro_30_Std_0.93,39822.26632178095,30.0,0.005724633549284141,227.96788179419522,0.13400511552621877,0.009365206903012367,2.5740582067155415,0.1710512199709252,1.154385223634275,696.2306134790837,6.331289885722035
107,fs_9.75_Ro_30_Std_1.73,39780.13611461632,30.0,0.010660327663693233,424.0692854881266,0.13291705444692453,0.00913082568931878,2.608721412256158,0.3318663537279575,1.1648303738360357,678.1241455037373,6.432480907158853
108,fs_9.75_Ro_30_Std_2.53,39755.90344803154,30.0,0.01559946159927514,620.1706891820581,0.13316554607118133,0.008888135858832517,2.846581134996207,0.34593950480056673,1.1977593431195699,683.049688550843,6.372039223075543
109,fs_9.75_Ro_40_Std_0.14,40199.55945744695,40.0,0.000853684620170151,34.317745646438,0.13561910967399077,0.009334270501960375,2.6386595241538364,0.21411417330535507,1.1822382749771383,715.6702240652738,6.527574893496928
110,fs_9.75_Ro_40_Std_0.93,40109.48033308381,40.0,0.005683640872458743,227.96788179419525,0.13855410469019755,0.009959300758319689,2.7302636014815787,0.23061374726522407,1.156694755105622,736.7958793469794,6.649368155948093
111,fs_9.75_Ro_40_Std_1.73,39637.32099505925,40.0,0.010698737322358048,424.06928548812664,0.13623990068481814,0.00928271486071667,3.099250246306017,0.473820987710535,1.197670129482306,707.3198070876614,6.432974626255501
112,fs_9.75_Ro_40_Std_2.53,39409.93062859558,40.0,0.0157364065170941,620.170689182058,0.13512842366851732,0.008948196784403884,3.3496078119676045,0.37720019292437545,1.220944633487593,693.232358659597,6.333749754776698
113,fs_9.75_Ro_70_Std_0.14,39810.52579318049,70.0,0.000862026937918931,34.317745646438,0.13471090733141447,0.008600074832358001,3.06700275293046,0.3839426613484552,1.2591028530637778,703.5211483605428,6.324954628781012
